udi,product_id,machine_type,factory_section,shift,air_temperature_K,process_temperature_K,temperature_difference,humidity_percent,rotational_speed_rpm,torque_Nm,pressure_bar,tool_wear_min,vibration_level,operational_hours,energy_consumption_kwh,maintenance_history,stress_score,machine_failure,failure_type
1,M14860,M,Production,Night,298.1,308.6,10.5,76,1551,42.8,4.37,,42.0,20.0,129.97,Average,66.38279999999999,0,No Failure
2,L47181,L,Cooling,Morning,298.2,308.7,10.5,39,1408,46.3,1.62,,52.0,21.0,99.77,Good,65.1904,0,No Failure
3,L47182,L,Production,Morning,298.1,308.5,10.399999999999977,85,1498,49.4,1.7,,44.0,18.0,31.52,Poor,74.0012,0,No Failure
4,L47183,L,Cooling,Night,298.2,308.6,10.400000000000034,45,1433,39.5,1.94,,52.0,10.0,83.39,Poor,56.6035,0,No Failure
5,L47184,L,Cooling,Evening,298.2,308.7,10.5,48,1408,40.0,8.56,,44.0,10.0,30.09,Average,56.32,0,No Failure
6,M14865,M,Production,Night,298.1,308.6,10.5,27,1425,41.9,9.2,,35.0,24.0,72.98,Average,59.7075,0,No Failure
7,L47186,L,Cooling,Morning,298.1,308.6,10.5,46,1558,42.4,2.11,,36.0,20.0,72.92,Average,66.0592,0,No Failure
8,L47187,L,Cooling,Night,298.1,308.6,10.5,77,1527,40.2,3.12,,33.0,14.0,28.58,Good,61.385400000000004,0,No Failure
9,M14868,M,Packaging,Night,298.3,308.7,10.399999999999977,26,1667,28.6,2.49,,23.0,22.0,65.35,Average,47.6762,0,No Failure
10,M14869,M,Testing,Morning,298.5,309.0,10.5,54,1741,28.0,2.68,,45.0,22.0,34.43,Average,48.748,0,No Failure
11,H29424,H,Testing,Night,298.4,308.9,10.5,62,1782,23.9,8.54,,55.0,19.73,125.07,Average,42.5898,0,No Failure
12,H29425,H,Packaging,Night,298.6,309.1,10.5,26,1423,44.3,3.99,,45.0,20.03,143.2,Average,63.03889999999999,0,No Failure
13,M14872,M,Production,Evening,298.6,309.1,10.5,88,1339,51.1,3.8,,34.0,20.33,29.4,Good,68.42290000000001,0,No Failure
14,M14873,M,Assembly,Evening,298.6,309.2,10.599999999999966,84,1742,30.0,3.05,,34.0,20.62,144.16,Good,52.26,0,No Failure
15,L47194,L,Assembly,Morning,298.6,309.2,10.599999999999966,45,2035,19.6,6.47,,23.0,20.92,87.93,Good,39.886,0,No Failure
16,L47195,L,Assembly,Morning,298.6,309.2,10.599999999999966,57,1542,48.4,4.41,,42.0,21.22,58.94,Good,74.6328,0,No Failure
17,M14876,M,Packaging,Morning,298.6,309.2,10.599999999999966,82,1311,46.6,7.7,,54.0,21.52,29.99,Average,61.0926,0,No Failure
18,M14877,M,Packaging,Evening,298.7,309.2,10.5,46,1410,45.6,2.85,,55.0,21.81,85.08,Average,64.296,0,No Failure
19,H29432,H,Cooling,Morning,298.8,309.2,10.399999999999977,73,1306,54.5,8.09,,54.0,22.11,123.29,Average,71.177,0,No Failure
20,M14879,M,Assembly,Morning,298.9,309.3,10.400000000000034,83,1632,32.5,6.43,,34.0,22.41,111.92,Good,53.04,0,No Failure
21,H29434,H,Production,Morning,298.9,309.3,10.400000000000034,66,1375,42.7,2.03,,33.0,22.7,26.53,Average,58.712500000000006,0,No Failure
22,L47201,L,Production,Evening,298.8,309.3,10.5,84,1450,44.8,4.73,,23.0,23.0,29.48,Good,64.96,0,No Failure
